,Count,Name,AverageWindSpeed,AverageTemp,SnowFall,Precipitation,Thunder,Smoke,MinTemp,MaxTemp
2017-02-17,171,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.05,43,0.0,0.0,0.0,0.0,27,67
2017-02-18,145,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.93,58,0.0,0.0,0.0,0.0,40,70
2017-02-19,137,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3.8,51,0.0,0.0,0.0,0.0,35,69
2017-02-20,103,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.3,53,0.0,0.0,0.0,1.0,41,70
2017-02-21,173,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.49,60,0.0,0.04,0.0,1.0,49,66
2017-02-22,138,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.86,58,0.0,0.0,0.0,1.0,50,68
2017-02-23,176,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.53,52,0.0,0.21,0.0,0.0,38,59
2017-02-24,174,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.53,39,0.0,0.15,1.0,0.0,33,40
2017-02-25,139,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.87,29,0.0,0.0,0.0,0.0,23,33
2017-02-26,111,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.87,32,0.0,0.0,0.0,0.0,21,49
2017-02-27,138,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.38,41,0.0,0.0,0.0,0.0,27,54
2017-02-28,177,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.65,51,0.0,0.65,1.0,1.0,47,60
2017-03-01,201,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.09,47,0.0,0.12,0.0,0.0,32,54
2017-03-02,132,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.96,32,0.0,0.0,0.0,0.0,27,35
2017-03-03,182,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.29,27,0.0,0.0,0.0,0.0,21,33
2017-03-04,151,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.54,33,0.1,0.01,0.0,1.0,28,42
2017-03-05,100,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.54,41,0.0,0.0,0.0,0.0,32,60
2017-03-06,152,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21.03,55,0.0,0.0,0.0,0.0,52,65
2017-03-07,172,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19.24,55,0.0,0.24,1.0,0.0,44,65
2017-03-08,184,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",22.15,46,0.0,0.0,0.0,0.0,40,53
2017-03-09,137,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.93,39,0.0,0.0,0.0,0.0,29,42
2017-03-10,218,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.54,32,0.0,0.0,0.0,0.0,23,36
2017-03-11,188,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,24,0.0,0.0,0.0,0.0,18,32
2017-03-12,102,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.93,26,0.4,0.05,0.0,0.0,18,36
2017-03-13,186,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,29,3.9,0.24,1.0,1.0,27,31
2017-03-14,257,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.09,25,3.4,0.19,0.0,1.0,19,28
